character	index	digits	pdf_page
锿	7684	31115412513534	429
镃	7685	31115431554554	429
镄	7686	31115515322534	429
镅	7687	31115521325111	429
馝	7688	31234251145434	430
鹙	7689	31234433435451	430
箨	7690	31431412154112	430
箖	7691	31431412341234	430
劄	7692	31431434125122	431
僬	7693	32324111214444	432
僦	7694	32412512341354	432
僔	7695	32431253511124	432
僎	7696	32515515122134	433
槃	7697	33541435541234	433
㙦	7698	34112344412121	433
鲒	7699	35251211121251	433
鲕	7700	35251211132522	434
𫚕	7701	35251211231252	434
鲖	7702	35251211251251	434
鲗	7703	35251211253422	434
鲘	7704	35251211331251	434
鲙	7705	35251211341154	434
𬶐	7706	35251211341534	434
𬶏	7707	35251211351355	434
𩽾	7708	35251211445531	434
夐	7709	35253425111354	435
獍	7710	35341431251135	435
飗	7711	35343545325121	435
𬸚	7712	35345134435451	435
凘	7713	41122111343312	435
廑	7714	41312212511121	436
廙	7715	41325121122134	436
瘗	7716	41341143134121	436
瘥	7717	41341431113121	437
瘕	7718	41341512115154	437
鲝	7719	43111335251211	438
鄫	7720	43252431251152	439
熇	7721	43344125125251	439
漹	7722	44112121154444	439
漖	7723	44112135213134	439
潆	7724	44112245554234	439
漤	7725	44112341234531	439
潩	7726	44125121122134	440
漼	7727	44125232411121	440
漴	7728	44125244511234	440
㽏	7729	44134125112211	440
漈	7730	44135445411234	441
漋	7731	44152354131121	441
漻	7732	44154154134333	441
慬	7733	44212212511121	441
窬	7734	44534341251122	442
窭	7735	44534431234531	442
㮾	7736	45115435111234	443
𬤝	7737	45125112144544	443
褕	7738	45234341251122	443
禛	7739	45241225111134	444
禚	7740	45244311214444	444
隩	7741	52325431234134	444
嫕	7742	53113113454544	445
嫭	7743	53121531534312	445
嫜	7744	53141431251112	445
嫪	7745	53154154134333	445
𬙂	7746	55144512512134	446
㻬	7747	112114524444115	447
麹	7748	112135435431234	447
璆	7749	112154154134333	448
漦	7750	112343134132534	448
叇	7751	115451124134454	448
墣	7752	121224314311134	449
墦	7753	121343123425121	450
墡	7754	121431112431251	450
劐	7755	122324111215422	453
薁	7756	122325431234134	453
蕰	7757	122441251125221	453
蔃	7758	122515251251214	453
鼒	7759	123251115132125	454
槱	7760	123412535114444	454
鹝	7761	125125431235451	455
磏	7762	132514315112234	457
磉	7763	132515454541234	457
殣	7764	135412212511121	457
慭	7765	143123413444544	457
霅	7766	145244444111251	458
暵	7767	251112212511134	459
暲	7768	251141431251112	460
暶	7769	251141533152134	460
踦	7770	251212113412512	460
踣	7771	251212141431251	461
䗖	7772	251214122245252	462
蝘	7773	251214125115315	462
蝲	7774	251214125123422	462
蝤	7775	251214431253511	464
噇	7776	251414312511211	465
噂	7777	251431253511124	465
噀	7778	251515515122134	465
罶	7779	252213545325121	465
嶲	7780	252324111212525	465
嶓	7781	252343123425121	466
㠇	7782	252412512341354	466
嶟	7783	252431253511124	466
嶒	7784	252432524312511	466
镆	7785	311151222511134	467
镈	7786	311151251124124	467
镋	7787	311152434525135	467
镎	7788	311153412513112	468
𬭩	7789	311153454541541	468
镕	7790	311154453434251	468
稹	7791	312341225111134	469
儇	7792	322522112513534	470
皞	7793	325113251113412	471
皛	7794	325113251132511	471
䴘	7795	332153153535451	471
艎	7796	335414325111121	471
艏	7797	335414431325111	472
鹟	7798	345454154135451	472
𩾃	7799	352512113525135	473
鲦	7800	352512113541234	473
鲪	7801	352512115113251	473
鲬	7802	352512115425112	474
橥	7803	353121325111234	474
觭	7804	353511213412512	474
鹠	7805	354532512135451	474
鹡	7806	413434251135451	476
糇	7807	431234325131134	477
糈	7808	431234521342511	477
翦	7809	431251122541541	477
鹢	7810	431342522135451	477
鹣	7811	431511223435451	477
熛	7812	433412522111234	478
潖	7813	441112111215215	478
潵	7814	441122125113134	479
㵐	7815	441134315233534	479
澂	7816	441252111213134	479
澛	7817	441352512112511	480
瑬	7818	441415432511214	480
潽	7819	441431224312511	480
潾	7820	441431234354152	480
潏	7821	441545232534251	481
憭	7822	442134432511234	481
憕	7823	442543341251431	482
𬸣	7824	445112213435451	482
戭	7825	445125121341534	482
褯	7826	452344131221252	483
禤	7827	452425221541541	483
𫍽	7828	452522112513534	483
嫽	7829	531134432511234	484
遹	7830	545232534251454	484
𬴊	7831	551431234354152	485
璥	7832	1121122352513134	486
璲	7833	1121431353334454	486
璒	7834	1121543341251431	487
憙	7835	1212514312514544	487
擐	7836	1212522112513534	488
鄹	7837	1221115432333452	488
薳	7838	1221212513234454	488
鞔	7839	1221251123525135	489
黇	7840	1221251213421251	489
𬞟	7841	1222121233132534	489
蕗	7842	1222512121354251	489
薢	7843	1223535112533112	490
蕹	7844	1224155332411121	490
橞	7845	1234125112144544	491
橑	7846	1234134432511234	492
橦	7847	1234414312511211	492
醑	7848	1253511521342511	494
觱	7849	1312515343535112	494
磡	7850	1325112211134553	494
𥕢	7851	1325112512212511	494
磜	7852	1325135445411234	494
豮	7853	1353334121222534	495
𫟦	7854	1521431353334454	496
𬺈	7855	2121345213412512	496
𫠜	7856	2121345232151135	496
鹾	7857	2125341431113121	496
虤	7858	2153153521531535	496
